TeamNumber,ParticipantID,Name,Game,Role,Personality,Skill
Team 1,P028,Participant_28,CS:GO,Defender,Leader,8
Team 1,P039,Participant_39,FIFA,Supporter,Thinker,5
Team 1,P036,Participant_36,Chess,Strategist,Thinker,9
Team 1,P042,Participant_42,DOTA 2,Attacker,Thinker,7
Team 1,P050,Participant_50,Basketball,Coordinator,Balanced,5
Team 1,P048,Participant_48,Valorant,Defender,Thinker,6
Team 1,P030,Participant_30,CS:GO,Coordinator,Thinker,4
Team 1,P033,Participant_33,FIFA,Defender,Thinker,7
Team 1,P027,Participant_27,Chess,Attacker,Thinker,6
Team 1,P045,Participant_45,Chess,Coordinator,Thinker,2
Team 1,P038,Participant_38,Valorant,Defender,Balanced,1
Team 1,P046,Participant_46,CS:GO,Strategist,Leader,5
Team 1,P034,Participant_34,FIFA,Supporter,Leader,7
Team 1,P044,Participant_44,FIFA,Supporter,Balanced,6
Team 1,P026,Participant_26,Chess,Strategist,Balanced,8
Team 1,P037,Participant_37,DOTA 2,Attacker,Leader,8
Team 1,P032,Participant_32,DOTA 2,Attacker,Balanced,2
Team 1,P040,Participant_40,Chess,Coordinator,Leader,9
Team 1,P047,Participant_47,DOTA 2,Attacker,Balanced,10
Team 1,P043,Participant_43,DOTA 2,Defender,Leader,2
Team 2,P058,Participant_58,Valorant,Defender,Leader,3
Team 2,P051,Participant_51,FIFA,Strategist,Thinker,2
Team 2,P069,Participant_69,CS:GO,Supporter,Thinker,5
Team 2,P072,Participant_72,DOTA 2,Attacker,Thinker,5
Team 2,P070,Participant_70,Basketball,Coordinator,Leader,1
Team 2,P063,Participant_63,Chess,Defender,Thinker,8
Team 2,P054,Participant_54,Valorant,Supporter,Thinker,8
Team 2,P075,Participant_75,Valorant,Coordinator,Thinker,8
Team 2,P057,Participant_57,CS:GO,Attacker,Thinker,7
Team 2,P066,Participant_66,Chess,Strategist,Thinker,1
Team 2,P060,Participant_60,CS:GO,Coordinator,Thinker,4
Team 2,P074,Participant_74,FIFA,Supporter,Balanced,3
Team 2,P052,Participant_52,FIFA,Attacker,Leader,2
Team 2,P056,Participant_56,Basketball,Strategist,Balanced,4
Team 2,P067,Participant_67,Basketball,Attacker,Leader,1
Team 2,P062,Participant_62,Basketball,Attacker,Balanced,6
Team 2,P059,Participant_59,DOTA 2,Supporter,Balanced,4
Team 2,P065,Participant_65,DOTA 2,Coordinator,Balanced,7
Team 2,P068,Participant_68,Chess,Defender,Balanced,1
Team 2,P055,Participant_55,Chess,Coordinator,Leader,8
Team 3,P082,Participant_82,Valorant,Attacker,Leader,10
Team 3,P096,Participant_96,DOTA 2,Strategist,Thinker,8
Team 3,P090,Participant_90,Chess,Coordinator,Thinker,5
Team 3,P093,Participant_93,CS:GO,Defender,Thinker,4
Team 3,P084,Participant_84,FIFA,Supporter,Thinker,5
Team 3,P087,Participant_87,Basketball,Attacker,Thinker,4
Team 3,P099,Participant_99,Valorant,Supporter,Thinker,3
Team 3,P081,Participant_81,FIFA,Strategist,Thinker,10
Team 3,P078,Participant_78,FIFA,Defender,Thinker,6
Team 3,P083,Participant_83,DOTA 2,Defender,Balanced,10
Team 3,P079,Participant_79,Chess,Supporter,Leader,5
Team 3,P089,Participant_89,Chess,Supporter,Balanced,6
Team 3,P085,Participant_85,Basketball,Coordinator,Leader,10
Team 3,P080,Participant_80,Basketball,Coordinator,Balanced,1
Team 3,P092,Participant_92,Basketball,Attacker,Balanced,7
Team 3,P094,Participant_94,CS:GO,Supporter,Leader,2
Team 3,P095,Participant_95,CS:GO,Coordinator,Balanced,2
Team 3,P100,Participant_100,CS:GO,Coordinator,Leader,7
Team 3,P098,Participant_98,CS:GO,Defender,Balanced,5
Team 3,P077,Participant_77,FIFA,Attacker,Balanced,2
Team 4,P001,Participant_1,Chess,Strategist,Leader,2
Team 4,P012,Participant_12,DOTA 2,Attacker,Thinker,3
Team 4,P009,Participant_9,CS:GO,Supporter,Thinker,6
Team 4,P003,Participant_3,FIFA,Defender,Thinker,4
Team 4,P010,Participant_10,Valorant,Coordinator,Leader,5
Team 4,P011,Participant_11,Basketball,Strategist,Balanced,8
Team 4,P015,Participant_15,DOTA 2,Coordinator,Thinker,8
Team 4,P024,Participant_24,DOTA 2,Supporter,Thinker,7
Team 4,P006,Participant_6,CS:GO,Strategist,Thinker,2
Team 4,P018,Participant_18,FIFA,Defender,Thinker,3
Team 4,P021,Participant_21,FIFA,Strategist,Thinker,4
Team 4,P022,Participant_22,Chess,Attacker,Leader,9
Team 4,P004,Participant_4,Basketball,Supporter,Leader,4
Team 4,P020,Participant_20,Valorant,Coordinator,Balanced,3
Team 4,P008,Participant_8,Valorant,Defender,Balanced,10
Team 4,P013,Participant_13,DOTA 2,Defender,Leader,4
Team 4,P007,Participant_7,DOTA 2,Attacker,Leader,5
Team 4,P005,Participant_5,CS:GO,Coordinator,Balanced,9
Team 4,P017,Participant_17,CS:GO,Attacker,Balanced,10
Team 4,P023,Participant_23,CS:GO,Defender,Balanced,3
